Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type
1,Advice and benefits,,2013-04-03,2013-04-03,,Function,,,,,,,,
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,190,Benefits advice and assessment,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,328,Bereavement support,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,352,Credit unions,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,651,Debt counselling,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,1520,Debt enforcement,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,671,Funeral payment,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,676,Legal advice,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,189,Welfare rights advice,Service
2,Advice and welfare rights,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,contains,688,Witness support,Service
3,Benefits,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,,,,
122,Carer and disability benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,137,Disabled facilities grant,Service
122,Carer and disability benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1534,Employment & support allowance,Service
121,Death and benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,,,,
123,Family benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,4,Free school meals,Service
123,Family benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,50,Nursery education grant,Service
123,Family benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,2,School clothing grants/vouchers,Service
123,Family benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,3,School transport - additional support,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,143,Decoration and disturbance allowances,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,832,Going into hospital,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,158,Home purchase grants,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,136,Home repair assistance grant,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,72,Housing benefit appeals,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,68,Housing benefit backdated claims,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,70,Housing benefit current claim,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,69,Housing benefit new claim,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,71,Housing benefit overpayments,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,73,Housing benefit renewal,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,142,Overdue housing repairs - discretionary allowance,Service
124,Heating and housing benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1055,Rent determination,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,65,Council tax benefit appeals,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,62,Council tax benefit backdated claims,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,64,Council tax benefit current claim,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,63,Council tax benefit new claim,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,66,Council tax benefit overpayments,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,67,Council tax benefit renewal,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1545,Jobseekers allowance,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1795,Local crisis payment,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1360,Starting work benefits,Service
125,Low income benefits,,2016-09-12,2016-09-12,Added in March 2016 review,Function,3,Benefits,Advice and benefits,Benefits,contains,1652,Universal credit,Service
4,Community support,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,,,,
5,Grants and aid,,2013-04-03,2013-04-03,,Function,1,Advice and benefits,Advice and benefits,,,,,
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1402,Community equipment loans,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,755,Community facility grants,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,871,Community grants,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1159,Cultural grants,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,857,Financial assistance for housing associations,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,615,Grants for voluntary organisations,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,455,Sporting club grants,Service
126,Community grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,639,Sports grants,Service
127,Disabled facilities grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1056,Special needs capital grants,Service
128,Grants for children and young people,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,888,Early years grant,Service
128,Grants for children and young people,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1155,Gifted and talented awards,Service
128,Grants for children and young people,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1116,Youth Opportunity Fund,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1148,Discretionary Housing Payment,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,858,Home improvement loans,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,433,Home renovation grants,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,269,Keeping warm in winter,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1147,Local Housing Allowance,Service
129,Housing grants,,2016-09-12,2016-09-12,Added in March 2016 review,Function,5,Grants and aid,Advice and benefits,Grants and aid,contains,1154,Private tenants rent assistance,Service
6,Business and employment,,2013-04-03,2013-04-03,,Function,,,,,,,,
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,349,Business advice,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,914,Business continuity advice,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,351,Business co-operatives,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1036,Business directories,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,692,Business security advice,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1139,Business sponsorship opportunities,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,820,Land and property valuations,Service
7,Business advice and support,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,622,Support for tourism businesses,Service
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,690,Business awards,Service
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,350,Business grants,Service
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,693,Business security grants,Service
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,900,Commercial property development,Service
8,Business grants,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,496,Shop front improvement grants,Service
9,Business rates,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,55,Business rate relief,Service
9,Business rates,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1672,Business rate supplement,Service
9,Business rates,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,56,Business rates account enquiries,Service
9,Business rates,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,54,Business rates annual notification,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,887,Careers advice,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,337,Current vacancies,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,299,Disabled people - employment advice,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,343,Employment and training initiatives,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,846,Environmental health placements,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,344,Equal opportunities advice,Service
10,Careers and employment,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,638,Sports employment,Service
11,Commercial property,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1618,Business centres,Service
11,Commercial property,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,93,Commercial lettings,Service
11,Commercial property,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,677,Vacant land and property,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,429,Accident reporting,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,811,Construction site fire safety,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,421,Health and safety - prosecutions register,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,419,Health and safety regulation,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,422,Health and safety training,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,718,Occupational health services,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1673,Safety of disused mines and tips,Service
12,Health and safety,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,752,Work health and safety advice and training,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1693,Business improvement districts (BID),Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,714,Compulsory property acquisition,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,348,Economic reports and forecasts,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,824,European and other funding,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,754,Land reclamation,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,347,Local economic development,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,823,Regeneration projects,Service
13,Regeneration,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,715,Voluntary property acquisition,Service
14,Tenders and contracts,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,,,,
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,787,Consumer advice,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,789,Fair trading,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,791,Food labelling,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,399,Illegal street trading,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,402,Product safety,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1742,Public weighbridges,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,403,Retail trading standards,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1127,Trader approval schemes,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,401,Trading standards advice to businesses,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1110,Trading standards education,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,1125,Under age sales,Service
15,Trading standards,,2013-04-03,2013-04-03,,Function,6,Business and employment,Business and employment,,contains,404,Weights and measures,Service
