Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1614,16 to 19 bursary fund,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1152,Abandoned shopping trolleys,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,372,Abandoned vehicles,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,650,Accommodation certificates,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,681,Acupuncturist registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,160,Adoption,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1757,Adult care plan,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,225,Adult carers,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,27,Adult education courses,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1121,Adult placement,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,292,Adult residential care,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,728,Advocacy for social care clients,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1123,Affordable housing,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1600,Alarm notification area,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,657,Alley gating,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,510,Allotments,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,772,Animal importation,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1483,Anti-social behaviour  - solvent abuse,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1480,Anti-social behaviour - begging and vagrancy,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1481,Anti-social behaviour - hoax or false calls to emergency services,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1484,Anti-social behaviour - inconsiderate or nuisance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1485,Anti-social behaviour - neighbour nuisance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1486,Anti-social behaviour - street drinking,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1487,Anti-social behaviour - vehicle,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1482,Anti-social behaviour -malicious or nuisance communication,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,369,Approved suppliers,Service
