Identifier,Label,Description,Created,Modified,History notes,Type
1,Becoming a carer,,2013-04-03,2013-04-03,,Life event
2,Becoming a parent,,2013-04-03,2013-04-03,,Life event
3,Becoming a victim of crime,,2013-04-03,2013-04-03,,Life event
4,Becoming disabled,,2013-04-03,2013-04-03,,Life event
5,Becoming unemployed,,2013-04-03,2013-04-03,,Life event
6,Bereavement,,2013-04-03,2013-04-03,,Life event
7,Changing school,,2013-04-03,2013-04-03,,Life event
8,Getting divorced/separated,,2013-04-03,2013-04-03,,Life event
9,Getting into debt,,2013-04-03,2013-04-03,,Life event
10,Getting married/Civil partnership,,2013-04-03,2013-04-03,,Life event
11,Going into further education,,2013-04-03,2013-04-03,,Life event
12,Learning to drive,,2013-04-03,2013-04-03,,Life event
13,Leaving school,,2013-04-03,2013-04-03,,Life event
14,Moving home,,2013-04-03,2013-04-03,,Life event
15,Retiring/Reaching pensionable age,,2013-04-03,2013-04-03,,Life event
16,Starting school,,2013-04-03,2013-04-03,,Life event
17,Starting up a business,,2013-04-03,2013-04-03,,Life event
18,Starting work,,2013-04-03,2013-04-03,,Life event
