Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type
122,Business support,,2017-01-04,2017-01-04,Added in April 2017 review,Need,,,,,,,,
85,Business premises,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,1618,Business centres,Service
85,Business premises,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,93,Commercial lettings,Service
85,Business premises,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,900,Commercial property development,Service
85,Business premises,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,677,Vacant land and property,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,372,Abandoned vehicles,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,1172,Analytical chemist registration,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,518,Commercial waste spillage,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,576,Dead animal removal,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,1094,Dog  waste bins,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,577,Dog fouling,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,588,Flyposting,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,587,Flytipping,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,584,Graffiti removal,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,1473,Household waste accumulation,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,581,Litter bins,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,580,Litter removal,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,1744,Residential waste spillages,Service
88,Clean streets,,2017-01-04,2017-01-04,Added in April 2017 review,Need,108; 122,Good living environment; Business support,Business support,,is addressed by,582,Street cleaning,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,787,Consumer advice,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,789,Fair trading,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,791,Food labelling,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,408,Food poisoning and contamination,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,407,Food safety enforcement,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,399,Illegal street trading,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,402,Product safety,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,1742,Public weighbridges,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,403,Retail trading standards,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,1597,Swimming pool and spa pool monitoring,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,1127,Trader approval schemes,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,401,Trading standards advice to businesses,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,1110,Trading standards education,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,1125,Under age sales,Service
87,Consumer protection,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122; 108,Business support; Good living environment,Business support,,is addressed by,404,Weights and measures,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,1618,Business centres,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,887,Careers advice,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,337,Current vacancies,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,1534,Employment & support allowance,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,343,Employment and training initiatives,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,846,Environmental health placements,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,344,Equal opportunities advice,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,1545,Jobseekers allowance,Service
11,Employment,,2013-03-04,2013-03-04,,Need,122; 107; 9,Business support; Financial security; Financial support,Business support,,is addressed by,638,Sports employment,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,190,Benefits advice and assessment,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1437,Carers allowance,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1676,Child poverty needs assessment,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,64,Council tax benefit current claim,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,63,Council tax benefit new claim,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,59,Council tax discount,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,60,Council tax exemptions,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,352,Credit unions,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,137,Disabled facilities grant,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1148,Discretionary Housing Payment,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,888,Early years grant,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1534,Employment & support allowance,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,4,Free school meals,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,70,Housing benefit current claim,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,69,Housing benefit new claim,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1545,Jobseekers allowance,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,269,Keeping warm in winter,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1795,Local crisis payment,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1147,Local Housing Allowance,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,50,Nursery education grant,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,2,School clothing grants/vouchers,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,3,School transport - additional support,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1056,Special needs capital grants,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1652,Universal credit,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,189,Welfare rights advice,Service
9,Financial support,,2013-03-04,2013-03-04,,Need,107; 122,Financial security; Business support,Business support,,is addressed by,1116,Youth Opportunity Fund,Service
86,Health and safety at work,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,429,Accident reporting,Service
86,Health and safety at work,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,811,Construction site fire safety,Service
86,Health and safety at work,,2017-01-04,2017-01-04,Added in April 2017 review,Need,122,Business support,Business support,,is addressed by,419,Health and safety regulation,Service
