Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type
200,Agency and other public bodies,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
201,Advisory non-departmental public body,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
202,Executive agency,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
203,Executive non-departmental public body,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
204,Independent monitoring body,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
205,Other agency,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
206,Public corporation,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
207,Tribunal non-departmental public body,,2016-09-19,2016-09-19,,Organisation type,200,Agency and other public bodies,Agency and other public bodies,,,,,
111,Central Government,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
208,Ministerial department,,2016-09-19,2016-09-19,,Organisation type,111,Central Government,Central Government,,,,,
209,Non-ministerial department,,2016-09-19,2016-09-19,,Organisation type,111,Central Government,Central Government,,,,,
210,Devolved administration,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
56,Education and training organisation,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
211,Adult education institution,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
58,Further education college,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
64,Independent training provider,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
57,School,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
214,Academy,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
215,City technology college,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
212,Faith school,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
213,Free school,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
63,Private school,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
216,State boarding school,,2016-09-19,2016-09-19,,Organisation type,57,School,Education and training organisation,School,,,,
59,University,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
65,Voluntary sector training provider,,2016-09-19,2016-09-19,,Organisation type,56,Education and training organisation,Education and training organisation,,,,,
217,Employment organisation,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
218,Employers organisation,,2016-09-19,2016-09-19,,Organisation type,217,Employment organisation,Employment organisation,,,,,
219,Professional association,,2016-09-19,2016-09-19,,Organisation type,217,Employment organisation,Employment organisation,,,,,
108,Trade association,,2016-09-19,2016-09-19,,Organisation type,217,Employment organisation,Employment organisation,,,,,
109,Trade union,,2016-09-19,2016-09-19,,Organisation type,217,Employment organisation,Employment organisation,,,,,
220,Health provider,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
5,Acute trust,,2016-09-19,2016-09-19,,Organisation type,220,Health provider,Health provider,,,,,
9,Ambulance trust,,2016-09-19,2016-09-19,,Organisation type,220,Health provider,Health provider,,,,,
221,Clinical commissioning group,,2016-09-19,2016-09-19,,Organisation type,220,Health provider,Health provider,,,,,
222,Foundation trust,,2016-09-19,2016-09-19,,Organisation type,220,Health provider,Health provider,,,,,
4,Mental health trust,,2016-09-19,2016-09-19,,Organisation type,220,Health provider,Health provider,,,,,
23,Law and public safety,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
24,Police force,,2016-09-19,2016-09-19,,Organisation type,23,Law and public safety,Law and public safety,,,,,
35,Local  and regional government,,2016-09-19,2016-09-19,,Organisation type,,,,,,,,
43,Community council,,2016-09-19,2016-09-19,,Organisation type,35,Local  and regional government,Local  and regional government,,,,,
39,County council,,2016-09-19,2016-09-19,,Organisation type,35,Local  and regional government,Local  and regional government,,performs,24,Adult education and lifelong learning,Function
