Identifier,Label,Description,Created,Modified,History notes,Type
13,Education and training - sharing of information,Any person authorised by the relevant legislation may provide information to a person or organisation identified in the legislation for the purpose of enabling or facilitating any relevant function related to education and training.,2015-07-24,2017-02-21,,power
14,Education and children's social work - expenditure,A local authority must comply with a request of Secretary of State for information about planned and actual expenditure on education or children's social services functions,2015-07-24,2015-07-24,,duty
15,Education and training - co-operation with another local authority in delivering section 68 duty,A local authority may co-operate with another local authority in delivering its section 68 duty under the same act.,2015-07-24,2015-07-24,,power
16,Education and training - young people and young adults,"A local authority must make available to young persons and relevant young adults such services as it considers appropriate to encourage, enable or assist the effective participation of those persons in education or training.",2015-07-24,2015-07-24,,duty
17,Young person - learning and support agreement,A local authority may enter into a conditional learning and support agreement with a young person.,2015-07-24,2015-07-24,,power
18,Education - pupil or student information,The responsible person must provide relevant information about a pupil or student who is attending an educational institution to an English local authority with an education function where that information is required for the provision of services under section 68 and 70 of the same act..,2015-07-24,2015-07-24,,duty
19,Young person or young adult - information provision,A person or body as defined in the legislation may supply information about a young person or relevant young adult to an English local authority with an education function where that information is required for the provision of services under section 68 and 70 of the same act.,2015-07-24,2015-07-24,,power
20,Education and training - provision for 14 - 19 year olds,A local authority must incorporate arrangements as to education and training suitable to the requirements of persons during the period beginning with the start of the academic year in which they attain the age of 15 and ending when they attain the age of 19 into co-operation arrangements under section 10 of the Children Act 2004.,2015-07-24,2015-07-24,,duty
21,Schools - financial or other assistance to academy,"A local authority may provide financial or other assistance in respect of the Academy, including by (a) making payments in respect of some (but not all) of the expenses of maintaining the Academy,  (b) providing premises, goods or services for the Academy, or  (c) by making premises, goods or services available to be used for the purposes of the Academy.",2015-07-24,2015-07-24,,power
22,Schools - ceasing maintenance on conversion to academy status,A local authority must cease to maintain a school on the date upon which it converts to Academy status.,2015-07-24,2015-07-24,,duty
23,Schools - academy property transfer scheme,"A local authority must comply with a transfer scheme made by the Secretary of State in respect of property, rights and liabilities of a former maintained school which is becoming an Academy.",2015-07-24,2015-07-24,,duty
24,Schools - academy board and lodging,A local authority must pay an Academy for the full cost of board and lodging at a child registered there if suitable education cannot be provided elsewhere and the whole or a suitable proportion of those charges where the payment of the charges would involve financial hardship to the child's parent.,2015-07-24,2015-07-24,,duty
25,Schools - transfer of land to academy,A local authority must comply with a scheme made by the Secretary of State to transfer land from the local authority to an Academy. ,2015-07-24,2015-07-24,,duty
26,Schools - consent of Secretary of State to transfer,A local authority must not dispose of land held for a school or Academy without the consent of the Secretary of State. ,2015-07-24,2015-07-24,,duty
27,Schools - transfer of former academy land,A local authority must not make an appropriation in respect of land held for a school or Academy without the consent of the Secretary of State.,2015-07-24,2015-07-24,,duty
28,Schools - change of land use,A local authority must inform the Secretary of State in respect of a proposed change of use with regard to land held for school or Academy purposes.,2015-07-24,2015-07-24,,duty
29,Schools - transfer of land to be legally effective,A local authority must to take steps required by property to law to make the transfer of land legally effective. ,2015-07-24,2015-07-24,,duty
30,Schools - formation of company for academy,The Governing Body of a maintained school may form a company to enter into Academy arrangements or do anything incidental.,2015-07-24,2017-11-27,,power
31,Policy - pay policy statement,"Local authority must prepare a pay policy statement, annually and have regard to Guidance when doing so.",2015-07-24,2015-07-24,,duty
32,Policy - Chief Officer remuneration,The authority must comply with its pay policy statement for the financial year in making the determination of  the remuneration of or other terms and conditions applying to a chief officer of the authority,2015-07-24,2015-07-24,,duty
33,Land of community value - maintenance of list,The local authority must maintain a list of land in its area which has community value.,2015-07-24,2015-07-24,,duty
34,Land of community value - unsuccessful nominations,The local authority must maintain a list of land that has been unsuccessfully nominated for inclusion in its list. ,2015-07-24,2015-07-24,,duty
35,Land of community value - publication of lists,The local authority must maintain a list of land which is considered an asset of community value and a list of land in its area that has been nominated by an unsuccessful community nomination (as a community asset).      Both lists must be published and made available for free inspection by any person.  A free copy of either list must be provided to any person who asks for a copy.,2015-07-24,2015-07-24,,duty
36,Land of community value - publication of intended sale,The local authority must edit list of assets of community value to show notification of intended sale and publicise that intended sale and to notify owner of community interest group bidder and to pay compensation in certain circumstances.,2015-07-24,2015-07-24,,duty
37,Land of community value - disposal moratorium,The local authority has power to enforce the moratorium on the disposal by the owner of land included in a local authority's list of assets of community value.,2015-07-24,2015-07-24,,power
38,Land of community value - co-operation between authorities,Where land on the register of community assets spans local authority areas all of those local authorities must co-operate in ensuring compliance with the Act.,2015-07-24,2015-07-24,,duty
39,Services - expressions of interest in providing,The local authority must publish a list of its services and consider expressions of interest from a relevant body and accept or reject them. Where required by the statute it must also enter into a public tendering process for those services.,2015-07-24,2015-07-24,,duty
40,Business rates - supplement (BRS),A local authority may impose a business supplemental rate non-domestic ratepayers to raise money for expenditure on a project that the authority is satisfied will promote economic development in its area.,2015-07-24,2015-07-24,,power
41,Business rates - procedures for imposing a BRS,"A local authority must draw up and publish an initial prospectus, consult relevant persons, hold a ballot, where relevant,  which approves the imposition and publish a final prospectus which sets out the arrangements for the imposition before imposing a business rate supplement.",2015-07-24,2015-07-24,,duty
42,Business rates - BRS relief,A levying authority that imposes a BRS may apply such reliefs in relation to the BRS as it thinks appropriate,2015-07-24,2015-07-24,,power
43,Business rates - interaction with BID levy where BRS imposed,"A levying authority must set rules for the purposes of cases where a person is, by reference to a hereditament, liable for BID levy for the whole or part of a financial year in respect of which the person is, in relation to that hereditament, subject to a BRS imposed by the authority.",2015-07-24,2015-07-24,,duty
44,Business rates - notice of BRS to billing authority,"A levying authority which is not a billing authority must, for each financial year for which it intends to impose a BRS, give a written notice relating to the BRS to each billing authority which is a lower-tier authority in relation to it.",2015-07-24,2015-07-24,,duty
45,Business rates - calculation of chargeable amount where BRS imposed,The authority must calculate the chargeable amount which each person who is to be subject to a BRS imposed for a financial year is to be liable to pay in respect of that year.,2015-07-24,2015-07-24,,duty
46,Business rates - BRS collection and enforcement and administrative expenses,A local authority must comply with Regulations regarding collection and enforcement and administrative expenses in connection with business rate supplements.,2015-07-24,2015-07-24,,duty
47,Business rates - accounting provisions for BRS,A local authority must comply with accounting provisions in connection with business rate supplement.,2015-07-24,2015-07-24,,duty
48,Business rates - directions on cancellation of BRS,"A levying authority, a billing authority or a functional body must comply with a direction given to it, or a requirement imposed on it by the Secretary of State in relation to the cancellation of a BRS.",2015-07-24,2015-07-24,,duty
49,Business rates - request for information in respect of BRS,The levying authority may request information from the billing authority in respect of the business rate supplement and the billing authority has a duty to comply with that request.,2015-07-24,2017-11-28,,power
50,Business rates - compliance with guidance for BRS,Local authority must comply with guidance issued by the Secretary of State when carrying out its functions under the Act.,2015-07-24,2015-07-24,,duty
51,Services - charging for provision,A local authority may charge for services carried out pursuant to its power under section 1 of the Localism Act in certain circumstances.,2015-07-24,2015-07-24,,power
52,Child poverty - co-operation to reduce child poverty,A local authority must make arrangements for promoting co-operation between various bodies for the purposes of reducing of mitigating child poverty in its area and to have regard to the guidance of the Secretary of State in so doing. ,2015-07-24,2017-03-21,,duty
53,Child poverty - resources and pooled fund,"A local authority may provide staff, goods, services, accommodation, other resources and to establish a pooled fund for the purposes of reducing of mitigating child poverty in its area.",2015-07-24,2017-03-21,,power
54,Child poverty - local needs assessment,A local authority must produce and publish a local child poverty needs assessment including a joint child poverty strategy for its area and have regard to guidance from the Secretary of State in so doing. ,2015-07-24,2017-03-21,,duty
55,Children's social care - arrangements for discharge of care functions,A local authority may enter into an agreement with a body corporate to enable that body to exercise some of the Authority's care functions.,2015-07-24,2015-07-24,,power
56,Children's social care - designated school staff member for looked after children,A Governing Body of a maintained school must designate a member of the staff at the school as having responsibility for promoting the educational achievement of registered pupils at the school who are being looked after by a local authority,2015-07-24,2015-07-24,,duty
57,Climate change report in England,"An authority is required to prepare a report on the current and predicted impact of climate change in relation to the authority's functions when and how directed by the Secretary of State.  The report may include proposals and policies for adapting to climate change, time-scales for introducing those proposals and policies and an assessment of the progress made by the authority towards implementing the policies and proposals set out in previous reports.",2015-07-24,2015-07-24,,duty
58,Climate change report in Wales,A local authority must prepare report on climate change in relation to the delegated functions of Welsh ministers when and in the manner directed by the Welsh Ministers.,2015-07-24,2015-07-24,,duty
59,Climate change - single use carrier bags,A local authority must administer the Single Use of Carrier Bags Regulations.,2015-07-24,2015-07-24,,duty
61,Services - timimg for submission of expressions of interest,"A relevant authority may specify periods during which expressions of interest, or expressions of interest in respect of a particular relevant service, may be submitted to the authority.",2015-07-24,2015-07-24,,power
62,Services - consideration of wellbeing of area during service procurement,"The authority must take the economic, social and environmental well-being of area into account before entering into certain procurement exercises and entering into certain service provision contracts ",2015-07-24,2015-07-24,,duty
63,Local economy - assessment of economic conditions,"A local authority must prepare an assessment of the economic conditions in its area, consult/co-operate with consultation as required by section 69 and have regard to guidance issued by the Secretary of State.",2015-07-24,2015-07-24,,duty
64,Local economy - funding for Economic Prosperity Board,A local authority must comply with secretary of state's funding order with regard to an Economic Prosperity Board operating within its area where the authority is a constituent council of the Board.,2015-07-24,2015-07-24,,duty
65,Local economy - review of arrangements,Any two or more authorities may undertake a review of the effectiveness and efficiency of arrangements to promote economic development and regeneration in their area.,2015-07-24,2015-07-24,,power
66,Local economy - new Economic Prosperity Board,Any two or more authorities may prepare and publish a scheme for a new economic prosperity board for their area. ,2015-07-24,2015-07-24,,power
67,Local economy - review of Economic Prosperity Board matters,In accordance with the framework laid down by section 100 an authority may undertake a review of economic prosperity board matters for their area.,2015-07-24,2015-07-24,,power
68,Local economy - preparation and publication of scheme ,An authority who has undertaken in review in accordance with section 100 may prepare and publish a scheme to exercise powers to improve economic prosperity for its area.,2015-07-24,2015-07-24,,power
69,Policy - joint review of transport or economic development,Any two or more authorities may undertake a review of the effectiveness and efficiency of transport or arrangements to promote economic development within their area.,2015-07-24,2015-07-24,,power
70,Policy - creation of combined authority,Any two or more authorities who have undertaken a review under section 108 may prepare and publish a scheme for the creation of a combined authority.,2015-07-24,2015-07-24,,power
71,Policy - combined authority review,Any one or more authorities may undertake a review of one or more combined matters in a combined authority's area.,2015-07-24,2015-07-24,,power
72,Policy - preparation and publication of scheme for a combined authority,Any one or more authorities who have undertaken a review of one or more combined matters in a combined authority's area may prepare and publish a scheme to improve the functioning of a combined matter in a combined authority's area. ,2015-07-24,2015-07-24,,power
73,Policy - regard to guidance by Secretary of State for combined authority,A local authority must have regard to guidance prepared by the Secretary of State with regard to anything done under Part VI of the Act.,2015-07-24,2015-07-24,,duty
74,Policy - proposal for multi-area agreement,The local authorities for an area proposed to be covered by a multi-area agreement (the proposed area) may request the Secretary of State to give a direction under section 125 for the preparation and submission of a draft multi-area agreement for the proposed area.,2015-07-24,2015-07-24,,power
75,Policy - direction to prepare and submit draft multi-area agreement,Local Authorities must prepare a multi-area agreement when directed to do so by the Secretary of State and must consult before so doing.,2015-07-24,2015-07-24,,duty
76,Policy - submission of existing multi-area agreement,Local Authorities must when preparing a multi-area agreement other than in accordance with section 125 comply with the requirements of section 128 and consult when so doing.,2015-07-24,2015-07-24,,duty
77,Policy - multi-area agreement improvement targets,Local Authorities must have regard to every improvement target contained within a multi area agreement when carrying out its functions.,2015-07-24,2015-07-24,,duty
78,Policy - transfer of responsibility in multi-area agreement,The local authorities to which the targets specified in a multi-area agreement relate may request the Secretary of State to agree to another one of those authorities becoming the responsible authority in relation to the agreement.,2015-07-24,2015-07-24,,power
79,Policy - revision proposals for multi-area agreement,A Local Authority may or must if directed to do so by the Secretary of State prepare a proposal for a revised multi-area agreement and consult as required.,2015-07-24,2017-11-29,,power
80,Policy - publication of information about multi-area agreement,A Local Authority must publish information about multi-area agreements or revised multi-area agreements.,2015-07-24,2015-07-24,,duty
81,Electoral areas - provision of information to Boundary Commission ,A local authority must comply with a request for information from the Local Government Boundary Commission for England in connection with its functions under the Act.,2015-07-24,2015-07-24,,duty
83,Electoral areas - request for Boundary Commission review.,A local authority may request the Local Government Boundary Commission for England to conduct a review of the Council's area and make recommendations as to single member electoral areas.,2015-07-24,2017-11-27,,power
84,Equality - public sector duty regarding socio-economic inequalities,"An authority to which this duty applies must, when making decisions of a strategic nature about how to exercise its functions, have due regard to the desirability of exercising them in a way that is designed to reduce the inequalities of outcome which result from socio-economic disadvantage.",2015-07-24,2015-07-24,,duty
85,"Equality - duty to eliminate discrimination, enhance equality and foster good relations","A local authority must in the exercise of its functions have due regard to the need to eliminate discrimination, enhance equality of opportunity and to enhance good relations.",2015-07-24,2015-07-24,,duty
86,Equality - publication of information to demonstrate compliance,A local authority must publish equality information as required by secondary legislation.,2015-07-24,2015-07-24,,duty
87,Equality - prepare and publish an equality objective,A local authority must prepare and publish equality information as required by secondary legislation,2015-07-24,2015-07-24,,duty
